id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale
275,l2,0.8016372832322032,0.01,331,207,2,1040,837,9,5,8,0.0832770037182717,35.77886680452959
28,none,0.2470426028644537,0.001,130,854,-1,1244,960,10,2,9,0.04282811077193123,19.313554114738267
103,l2,0.6956101751640511,0.0001,832,973,-1,948,1299,8,2,9,0.012388354577656958,7.079640745360612
387,l1,0.4281734574949223,0.001,152,935,-1,854,158,7,5,10,0.03374963926609966,29.52829448017405
226,none,0.40161009945423104,0.01,475,452,1,513,442,9,5,12,0.011187960840264091,31.29288242445584
269,none,0.8415627993817093,0.0001,350,426,1,410,1282,6,2,6,0.08628058266744193,32.425642627279714
135,l1,0.12520033669976255,0.0001,711,892,8,267,142,2,2,9,0.08400974351447925,88.03324146755453
232,elasticnet,0.32499143094942706,0.001,685,470,4,746,675,8,5,10,0.08226100528987082,87.31238902048437
20,none,0.7285332615700323,0.001,213,101,4,222,128,6,4,8,0.0008417235153927449,20.919170879282614
216,l1,0.32940324106634866,0.001,994,826,4,129,410,10,5,9,0.009375232873258688,35.42804590222989
79,l2,0.7243331252036573,0.001,689,724,1,469,980,3,2,8,0.02263022392509674,72.73738518081694
353,l1,0.27441895629528257,0.001,304,903,1,638,171,4,4,9,0.009661836769328726,90.9309867063273
159,l1,0.6967468352361912,0.001,143,554,8,141,1226,2,2,8,0.05774673445699701,89.6821674138414
221,l1,0.4087289800836396,0.01,162,58,2,1250,765,6,2,9,0.08967714034787568,51.0615680214618
43,none,0.669810868816691,0.01,913,713,-1,329,806,3,3,7,0.06429757013824731,87.97230490850201
399,l2,0.3975316231588546,0.001,400,515,1,756,632,2,2,6,0.07997464200198151,97.1245836240277
66,none,0.7959420991727629,0.001,401,801,1,663,1295,8,2,11,0.014647189940011709,39.99192763316262
300,elasticnet,0.783731427812063,0.01,551,995,8,1279,1042,10,3,11,0.0014054347608064234,87.02821432950859
371,l1,0.8184978617319486,0.01,925,326,2,1074,537,4,5,9,0.043891219431037166,63.827166192820556
23,none,0.18438998226164086,0.01,306,446,-1,704,611,10,5,8,0.025607122260768944,26.31383823142617
253,elasticnet,0.3004523922154627,0.001,581,901,8,1282,1216,7,4,9,0.010937389921551369,17.235972269616394
80,l2,0.4702377552731282,0.0001,817,636,-1,977,281,5,3,9,0.0501818020544648,8.63276302675081
375,l2,0.8114095334036745,0.01,638,404,1,854,1136,7,3,11,0.01651915274151323,68.82229801435166
298,elasticnet,0.673572848031311,0.0001,835,235,1,1143,759,3,3,9,0.060582344138023124,78.35524853356974
84,l1,0.20282012954449732,0.001,870,996,1,679,291,10,5,9,0.05332177781689062,50.37560775775348
118,none,0.36438318264809744,0.01,820,155,4,1274,1318,7,4,10,0.03861711631407658,76.7695481399613
358,elasticnet,0.4955511361574073,0.0001,306,696,8,615,397,9,3,9,0.01729949083660375,84.2990554127624
90,none,0.4191031699286277,0.001,519,737,-1,956,586,9,4,11,0.06194852529370814,14.389723956116184
378,elasticnet,0.43032465292560695,0.0001,171,97,-1,660,130,4,3,9,0.08012222366086626,4.887383655126246
145,l1,0.8841546810920161,0.01,190,192,4,194,1037,3,4,7,0.06906086446297413,11.037936037974202
147,l1,0.8244612312243246,0.0001,902,99,1,107,1384,8,5,8,0.015682108090970967,77.88234755465805
78,l1,0.7158647246279053,0.01,423,651,1,869,311,4,2,6,0.03907671086604456,8.238954435884622
127,elasticnet,0.4050893892375799,0.0001,122,792,4,497,1030,4,3,9,0.0587772050512989,14.292437861681256
330,l1,0.6705239015658913,0.0001,184,805,4,237,597,7,3,11,0.07040848484549493,63.87336386396913
354,elasticnet,0.32215862197214423,0.001,966,645,-1,356,848,5,3,7,0.0260638369967388,78.79817313116591
82,elasticnet,0.7191709874667859,0.01,765,588,2,716,1326,2,5,7,0.02515933612439395,36.20335816074756
224,elasticnet,0.2267899368115167,0.001,844,441,2,1015,1108,9,4,9,0.08206703007227559,4.7196462697156445
345,none,0.7663064356635404,0.01,442,649,1,480,816,5,4,9,0.019681677951982515,18.46323088708859
328,none,0.7904174928373668,0.001,140,307,4,898,113,3,2,5,0.010081868954371298,81.53665616766695
393,elasticnet,0.26694297273478695,0.01,419,589,1,689,669,3,3,7,0.007094611940394523,50.4043990057601
39,none,0.6716039424758871,0.001,123,525,2,267,509,7,5,9,0.09063417498141624,78.06038636853859
178,elasticnet,0.7683199314506907,0.0001,715,91,1,1107,757,8,2,10,0.07566912215851762,40.09827203374915
367,l2,0.6405070768051574,0.0001,612,713,-1,330,284,9,2,9,0.07505295572735246,62.631816450858345
